n_tasks,Tokens NER,Tokens Aux,Alpha,AMI,fscore,std_fscore
1,2500,3000,0.97,0.8,0.11,0.01
2,2500,3000,0.97,0.8,0.26,0.02
3,2500,3000,0.97,0.8,0.46,0.03
4,2500,3000,0.97,0.8,0.53,0.02
5,2500,3000,0.97,0.8,0.51,0.03
6,2500,3000,0.97,0.8,0.5,0.02
7,2500,3000,0.97,0.8,0.49,0.03
8,2500,3000,0.97,0.8,0.54,0.02
9,2500,3000,0.97,0.8,0.52,0.03
10,2500,3000,0.97,0.8,0.6,0.02
11,2500,3000,0.97,0.8,0.6,0.04
12,2500,3000,0.97,0.8,0.6,0.03
13,2500,3000,0.97,0.8,0.66,0.01
14,2500,3000,0.97,0.8,0.64,0.06
15,2500,3000,0.97,0.8,0.64,0.03
16,2500,3000,0.97,0.8,0.65,0.07
17,2500,3000,0.97,0.8,0.58,0.12
18,2500,3000,0.97,0.8,0.65,0.04
19,2500,3000,0.97,0.8,0.67,0.08
20,2500,3000,0.97,0.8,0.65,0.08
21,2500,3000,0.97,0.8,0.64,0.08
22,2500,3000,0.97,0.8,0.7,0.05
23,2500,3000,0.97,0.8,0.69,0.06
24,2500,3000,0.97,0.8,0.73,0
25,2500,3000,0.97,0.8,0.72,0.03
1,2500,3000,0.95,0.71,0.1,0.01
2,2500,3000,0.95,0.71,0.26,0.02
3,2500,3000,0.95,0.71,0.41,0.03
4,2500,3000,0.95,0.71,0.46,0.02
5,2500,3000,0.95,0.71,0.44,0.02
6,2500,3000,0.95,0.71,0.46,0.02
7,2500,3000,0.95,0.71,0.46,0.04
8,2500,3000,0.95,0.71,0.47,0.03
9,2500,3000,0.95,0.71,0.48,0.03
10,2500,3000,0.95,0.71,0.54,0.02
11,2500,3000,0.95,0.71,0.54,0.05
12,2500,3000,0.95,0.71,0.55,0.05
13,2500,3000,0.95,0.71,0.61,0.02
14,2500,3000,0.95,0.71,0.59,0.04
15,2500,3000,0.95,0.71,0.64,0.02
16,2500,3000,0.95,0.71,0.6,0.03
17,2500,3000,0.95,0.71,0.53,0.1
18,2500,3000,0.95,0.71,0.65,0.02
19,2500,3000,0.95,0.71,0.6,0.07
20,2500,3000,0.95,0.71,0.67,0.03
21,2500,3000,0.95,0.71,0.62,0.05
22,2500,3000,0.95,0.71,0.69,0.04
23,2500,3000,0.95,0.71,0.66,0.05
24,2500,3000,0.95,0.71,0.65,0.03
25,2500,3000,0.95,0.71,0.66,0.05
1,2500,3000,0.92,0.61,0.11,0.01
2,2500,3000,0.92,0.61,0.21,0.01
3,2500,3000,0.92,0.61,0.34,0.01
4,2500,3000,0.92,0.61,0.43,0.02
5,2500,3000,0.92,0.61,0.41,0.05
6,2500,3000,0.92,0.61,0.42,0.04
7,2500,3000,0.92,0.61,0.44,0.02
8,2500,3000,0.92,0.61,0.44,0.03
9,2500,3000,0.92,0.61,0.47,0.02
10,2500,3000,0.92,0.61,0.5,0.02
11,2500,3000,0.92,0.61,0.52,0.03
12,2500,3000,0.92,0.61,0.56,0.01
13,2500,3000,0.92,0.61,0.55,0.03
14,2500,3000,0.92,0.61,0.57,0.02
15,2500,3000,0.92,0.61,0.53,0.03
16,2500,3000,0.92,0.61,0.58,0.01
17,2500,3000,0.92,0.61,0.55,0.07
18,2500,3000,0.92,0.61,0.51,0.11
19,2500,3000,0.92,0.61,0.57,0.04
20,2500,3000,0.92,0.61,0.62,0.04
21,2500,3000,0.92,0.61,0.54,0.05
22,2500,3000,0.92,0.61,0.61,0.07
23,2500,3000,0.92,0.61,0.59,0.05
24,2500,3000,0.92,0.61,0.61,0.02
25,2500,3000,0.92,0.61,0.6,0.04
1,2500,3000,0.9,0.55,0.1,0.01
2,2500,3000,0.9,0.55,0.19,0.01
3,2500,3000,0.9,0.55,0.34,0.02
4,2500,3000,0.9,0.55,0.35,0.02
5,2500,3000,0.9,0.55,0.37,0.02
6,2500,3000,0.9,0.55,0.38,0.02
7,2500,3000,0.9,0.55,0.38,0.01
8,2500,3000,0.9,0.55,0.39,0.01
9,2500,3000,0.9,0.55,0.42,0.04
10,2500,3000,0.9,0.55,0.48,0.03
11,2500,3000,0.9,0.55,0.49,0.03
12,2500,3000,0.9,0.55,0.5,0.04
13,2500,3000,0.9,0.55,0.52,0.02
14,2500,3000,0.9,0.55,0.53,0.01
15,2500,3000,0.9,0.55,0.49,0.06
16,2500,3000,0.9,0.55,0.52,0.06
17,2500,3000,0.9,0.55,0.52,0.05
18,2500,3000,0.9,0.55,0.54,0.02
19,2500,3000,0.9,0.55,0.54,0.06
20,2500,3000,0.9,0.55,0.52,0.11
21,2500,3000,0.9,0.55,0.54,0.04
22,2500,3000,0.9,0.55,0.5,0.06
23,2500,3000,0.9,0.55,0.59,0.02
24,2500,3000,0.9,0.55,0.54,0.02
25,2500,3000,0.9,0.55,0.52,0.08
1,2500,3000,0.85,0.43,0.11,0.01
2,2500,3000,0.85,0.43,0.18,0.02
3,2500,3000,0.85,0.43,0.33,0.02
4,2500,3000,0.85,0.43,0.35,0.03
5,2500,3000,0.85,0.43,0.34,0.03
6,2500,3000,0.85,0.43,0.38,0.04
7,2500,3000,0.85,0.43,0.37,0.03
8,2500,3000,0.85,0.43,0.37,0.04
9,2500,3000,0.85,0.43,0.4,0.03
10,2500,3000,0.85,0.43,0.41,0.03
11,2500,3000,0.85,0.43,0.43,0.03
12,2500,3000,0.85,0.43,0.47,0.04
13,2500,3000,0.85,0.43,0.49,0.03
14,2500,3000,0.85,0.43,0.47,0.03
15,2500,3000,0.85,0.43,0.45,0.09
16,2500,3000,0.85,0.43,0.5,0.02
17,2500,3000,0.85,0.43,0.45,0.06
18,2500,3000,0.85,0.43,0.44,0.1
19,2500,3000,0.85,0.43,0.52,0.04
20,2500,3000,0.85,0.43,0.48,0.06
21,2500,3000,0.85,0.43,0.5,0.03
22,2500,3000,0.85,0.43,0.47,0.05
23,2500,3000,0.85,0.43,0.5,0.06
24,2500,3000,0.85,0.43,0.51,0.04
25,2500,3000,0.85,0.43,0.51,0.03
1,2500,3000,0.7,0.22,0.1,0.01
2,2500,3000,0.7,0.22,0.15,0.02
3,2500,3000,0.7,0.22,0.21,0.02
4,2500,3000,0.7,0.22,0.19,0.02
5,2500,3000,0.7,0.22,0.2,0.02
6,2500,3000,0.7,0.22,0.2,0.02
7,2500,3000,0.7,0.22,0.22,0.01
8,2500,3000,0.7,0.22,0.23,0.02
9,2500,3000,0.7,0.22,0.27,0.01
10,2500,3000,0.7,0.22,0.27,0.02
11,2500,3000,0.7,0.22,0.29,0.01
12,2500,3000,0.7,0.22,0.29,0.03
13,2500,3000,0.7,0.22,0.32,0.03
14,2500,3000,0.7,0.22,0.33,0.02
15,2500,3000,0.7,0.22,0.31,0.01
16,2500,3000,0.7,0.22,0.31,0.03
17,2500,3000,0.7,0.22,0.32,0.03
18,2500,3000,0.7,0.22,0.31,0.03
19,2500,3000,0.7,0.22,0.34,0.03
20,2500,3000,0.7,0.22,0.34,0.03
21,2500,3000,0.7,0.22,0.33,0.01
22,2500,3000,0.7,0.22,0.34,0.02
23,2500,3000,0.7,0.22,0.35,0.04
24,2500,3000,0.7,0.22,0.36,0.03
25,2500,3000,0.7,0.22,0.33,0.03
1,2500,3000,0.6,0.13,0.1,0.01
2,2500,3000,0.6,0.13,0.14,0.01
3,2500,3000,0.6,0.13,0.17,0.01
4,2500,3000,0.6,0.13,0.17,0.02
5,2500,3000,0.6,0.13,0.16,0.01
6,2500,3000,0.6,0.13,0.17,0.03
7,2500,3000,0.6,0.13,0.17,0.03
8,2500,3000,0.6,0.13,0.17,0.01
9,2500,3000,0.6,0.13,0.18,0.02
10,2500,3000,0.6,0.13,0.18,0.02
11,2500,3000,0.6,0.13,0.18,0.02
12,2500,3000,0.6,0.13,0.21,0.03
13,2500,3000,0.6,0.13,0.21,0.02
14,2500,3000,0.6,0.13,0.24,0.02
15,2500,3000,0.6,0.13,0.21,0.01
16,2500,3000,0.6,0.13,0.21,0.03
17,2500,3000,0.6,0.13,0.21,0.02
18,2500,3000,0.6,0.13,0.22,0.02
19,2500,3000,0.6,0.13,0.21,0.03
20,2500,3000,0.6,0.13,0.21,0.01
21,2500,3000,0.6,0.13,0.23,0.02
22,2500,3000,0.6,0.13,0.24,0.01
23,2500,3000,0.6,0.13,0.23,0.01
24,2500,3000,0.6,0.13,0.24,0.02
25,2500,3000,0.6,0.13,0.25,0.03
1,2500,5000,0.99,0.91,0.12,0.01
2,2500,5000,0.99,0.91,0.52,0.01
3,2500,5000,0.99,0.91,0.62,0.02
4,2500,5000,0.99,0.91,0.69,0.01
5,2500,5000,0.99,0.91,0.72,0.01
6,2500,5000,0.99,0.91,0.73,0.01
7,2500,5000,0.99,0.91,0.75,0.01
8,2500,5000,0.99,0.91,0.77,0.01
9,2500,5000,0.99,0.91,0.76,0.05
10,2500,5000,0.99,0.91,0.74,0.07
11,2500,5000,0.99,0.91,0.79,0.01
12,2500,5000,0.99,0.91,0.78,0.06
13,2500,5000,0.99,0.91,0.81,0.01
14,2500,5000,0.99,0.91,0.81,0.01
15,2500,5000,0.99,0.91,0.82,0.01
16,2500,5000,0.99,0.91,0.83,0
17,2500,5000,0.99,0.91,0.83,0.01
18,2500,5000,0.99,0.91,0.83,0.01
19,2500,5000,0.99,0.91,0.84,0.01
20,2500,5000,0.99,0.91,0.84,0.01
1,2500,5000,0.97,0.8,0.1,0.02
2,2500,5000,0.97,0.8,0.4,0.01
3,2500,5000,0.97,0.8,0.49,0.05
4,2500,5000,0.97,0.8,0.55,0.01
5,2500,5000,0.97,0.8,0.57,0.02
6,2500,5000,0.97,0.8,0.6,0.03
7,2500,5000,0.97,0.8,0.6,0.04
8,2500,5000,0.97,0.8,0.6,0.07
9,2500,5000,0.97,0.8,0.62,0
10,2500,5000,0.97,0.8,0.66,0.01
11,2500,5000,0.97,0.8,0.7,0.03
12,2500,5000,0.97,0.8,0.71,0.03
13,2500,5000,0.97,0.8,0.71,0.03
14,2500,5000,0.97,0.8,0.69,0.08
15,2500,5000,0.97,0.8,0.74,0.01
16,2500,5000,0.97,0.8,0.73,0.04
17,2500,5000,0.97,0.8,0.69,0.11
18,2500,5000,0.97,0.8,0.75,0.02
19,2500,5000,0.97,0.8,0.74,0.04
20,2500,5000,0.97,0.8,0.72,0.06
1,2500,5000,0.95,0.71,0.1,0.01
2,2500,5000,0.95,0.71,0.38,0.02
3,2500,5000,0.95,0.71,0.48,0.03
4,2500,5000,0.95,0.71,0.53,0.01
5,2500,5000,0.95,0.71,0.54,0.02
6,2500,5000,0.95,0.71,0.57,0.01
7,2500,5000,0.95,0.71,0.57,0.02
8,2500,5000,0.95,0.71,0.59,0.02
9,2500,5000,0.95,0.71,0.58,0.04
10,2500,5000,0.95,0.71,0.54,0.11
11,2500,5000,0.95,0.71,0.57,0.07
12,2500,5000,0.95,0.71,0.66,0.02
13,2500,5000,0.95,0.71,0.67,0.01
14,2500,5000,0.95,0.71,0.68,0.02
15,2500,5000,0.95,0.71,0.7,0.02
16,2500,5000,0.95,0.71,0.7,0.01
17,2500,5000,0.95,0.71,0.7,0.02
18,2500,5000,0.95,0.71,0.72,0.01
19,2500,5000,0.95,0.71,0.72,0.01
20,2500,5000,0.95,0.71,0.72,0.02
1,2500,5000,0.92,0.61,0.1,0.01
2,2500,5000,0.92,0.61,0.34,0.01
3,2500,5000,0.92,0.61,0.43,0.01
4,2500,5000,0.92,0.61,0.46,0.03
5,2500,5000,0.92,0.61,0.46,0.02
6,2500,5000,0.92,0.61,0.49,0.03
7,2500,5000,0.92,0.61,0.54,0.01
8,2500,5000,0.92,0.61,0.57,0.02
9,2500,5000,0.92,0.61,0.5,0.07
10,2500,5000,0.92,0.61,0.57,0.02
11,2500,5000,0.92,0.61,0.54,0.13
12,2500,5000,0.92,0.61,0.58,0.06
13,2500,5000,0.92,0.61,0.51,0.17
14,2500,5000,0.92,0.61,0.6,0.03
15,2500,5000,0.92,0.61,0.6,0.05
16,2500,5000,0.92,0.61,0.64,0.06
17,2500,5000,0.92,0.61,0.68,0.02
18,2500,5000,0.92,0.61,0.65,0.04
19,2500,5000,0.92,0.61,0.68,0.01
20,2500,5000,0.92,0.61,0.68,0.01
1,2500,5000,0.9,0.55,0.1,0.01
2,2500,5000,0.9,0.55,0.32,0.02
3,2500,5000,0.9,0.55,0.38,0.02
4,2500,5000,0.9,0.55,0.42,0.01
5,2500,5000,0.9,0.55,0.46,0.03
6,2500,5000,0.9,0.55,0.48,0.01
7,2500,5000,0.9,0.55,0.51,0.02
8,2500,5000,0.9,0.55,0.54,0.02
9,2500,5000,0.9,0.55,0.54,0.02
10,2500,5000,0.9,0.55,0.54,0.02
11,2500,5000,0.9,0.55,0.59,0.01
12,2500,5000,0.9,0.55,0.55,0.05
13,2500,5000,0.9,0.55,0.56,0.04
14,2500,5000,0.9,0.55,0.61,0.02
15,2500,5000,0.9,0.55,0.56,0.09
16,2500,5000,0.9,0.55,0.6,0.07
17,2500,5000,0.9,0.55,0.64,0.02
18,2500,5000,0.9,0.55,0.62,0.04
19,2500,5000,0.9,0.55,0.63,0.05
20,2500,5000,0.9,0.55,0.62,0.04
1,2500,5000,0.85,0.43,0.11,0.01
2,2500,5000,0.85,0.43,0.3,0.01
3,2500,5000,0.85,0.43,0.38,0.03
4,2500,5000,0.85,0.43,0.39,0.04
5,2500,5000,0.85,0.43,0.39,0.04
6,2500,5000,0.85,0.43,0.4,0.03
7,2500,5000,0.85,0.43,0.47,0.01
8,2500,5000,0.85,0.43,0.48,0.02
9,2500,5000,0.85,0.43,0.43,0.05
10,2500,5000,0.85,0.43,0.45,0.05
11,2500,5000,0.85,0.43,0.51,0.04
12,2500,5000,0.85,0.43,0.51,0.04
13,2500,5000,0.85,0.43,0.49,0.05
14,2500,5000,0.85,0.43,0.53,0.03
15,2500,5000,0.85,0.43,0.52,0.03
16,2500,5000,0.85,0.43,0.56,0.02
17,2500,5000,0.85,0.43,0.55,0.02
18,2500,5000,0.85,0.43,0.58,0.01
19,2500,5000,0.85,0.43,0.54,0.04
20,2500,5000,0.85,0.43,0.57,0.03
1,2500,5000,0.7,0.22,0.09,0.01
2,2500,5000,0.7,0.22,0.17,0.02
3,2500,5000,0.7,0.22,0.22,0.01
4,2500,5000,0.7,0.22,0.23,0.02
5,2500,5000,0.7,0.22,0.23,0.01
6,2500,5000,0.7,0.22,0.24,0.02
7,2500,5000,0.7,0.22,0.3,0.01
8,2500,5000,0.7,0.22,0.32,0.01
9,2500,5000,0.7,0.22,0.32,0.02
10,2500,5000,0.7,0.22,0.32,0.02
11,2500,5000,0.7,0.22,0.32,0.01
12,2500,5000,0.7,0.22,0.35,0.02
13,2500,5000,0.7,0.22,0.33,0.02
14,2500,5000,0.7,0.22,0.38,0.03
15,2500,5000,0.7,0.22,0.35,0.04
16,2500,5000,0.7,0.22,0.4,0.02
17,2500,5000,0.7,0.22,0.38,0.05
18,2500,5000,0.7,0.22,0.39,0.01
19,2500,5000,0.7,0.22,0.42,0.02
20,2500,5000,0.7,0.22,0.42,0.01
1,2500,5000,0.6,0.13,0.11,0.01
2,2500,5000,0.6,0.13,0.14,0.02
3,2500,5000,0.6,0.13,0.17,0.01
4,2500,5000,0.6,0.13,0.18,0.02
5,2500,5000,0.6,0.13,0.18,0.01
6,2500,5000,0.6,0.13,0.18,0.01
7,2500,5000,0.6,0.13,0.21,0.03
8,2500,5000,0.6,0.13,0.23,0.02
9,2500,5000,0.6,0.13,0.21,0.01
10,2500,5000,0.6,0.13,0.23,0.02
11,2500,5000,0.6,0.13,0.24,0.02
12,2500,5000,0.6,0.13,0.25,0.04
13,2500,5000,0.6,0.13,0.24,0.01
14,2500,5000,0.6,0.13,0.27,0.01
15,2500,5000,0.6,0.13,0.27,0.03
16,2500,5000,0.6,0.13,0.28,0.04
17,2500,5000,0.6,0.13,0.27,0.03
18,2500,5000,0.6,0.13,0.27,0.03
19,2500,5000,0.6,0.13,0.29,0.03
20,2500,5000,0.6,0.13,0.3,0.03
