n_tasks,n_tokens_per_task,n_tokens_total,mutual_info,alpha,fscore
1,1000,1000,0,0.2,0.0617
2,1000,2000,0,0.2,0.0274
3,1000,3000,0,0.2,0.0271
4,1000,4000,0,0.2,0.0262
5,1000,5000,0,0.2,0.0248
6,1000,6000,0,0.2,0.0302
7,1000,7000,0,0.2,0.0247
8,1000,8000,0,0.2,0.0239
9,1000,9000,0,0.2,0.0267
10,1000,10000,0,0.2,0.0265
2,11000,22000,1,1,0.7527
2,12000,24000,1,1,0.7568
2,13000,26000,1,1,0.7592
2,14000,28000,1,1,0.7578
2,15000,30000,1,1,0.7607
2,16000,32000,1,1,0.7648
2,17000,34000,1,1,0.7726
2,18000,36000,1,1,0.7757
2,19000,38000,1,1,0.7826
2,11000,22000,0.34,0.8,0.6556
2,12000,24000,0.34,0.8,0.6778
2,13000,26000,0.34,0.8,0.6878
2,14000,28000,0.34,0.8,0.6918
2,15000,30000,0.34,0.8,0.6811
2,16000,32000,0.34,0.8,0.6853
2,17000,34000,0.34,0.8,0.6869
2,18000,36000,0.34,0.8,0.6958
2,19000,38000,0.34,0.8,0.7005
2,11000,22000,0.55,0.9,0.7005
2,12000,24000,0.55,0.9,0.7186
2,13000,26000,0.55,0.9,0.7184
2,14000,28000,0.55,0.9,0.7102
2,15000,30000,0.55,0.9,0.7159
2,16000,32000,0.55,0.9,0.7244
2,17000,34000,0.55,0.9,0.7165
2,18000,36000,0.55,0.9,0.6996
2,19000,38000,0.55,0.9,0.7338
2,11000,22000,0.55,0.9,0.7422
2,12000,24000,0.85,0.98,0.7456
2,13000,26000,0.85,0.98,0.7468
2,14000,28000,0.85,0.98,0.7493
2,15000,30000,0.85,0.98,0.7527
2,16000,32000,0.85,0.98,0.7538
2,17000,34000,0.85,0.98,0.7621
2,18000,36000,0.85,0.98,0.7584
2,19000,38000,0.85,0.98,0.7755
2,11000,22000,1,1,0.7393
2,12000,24000,1,1,0.7411
2,13000,26000,1,1,0.7413
2,14000,28000,1,1,0.7476
2,15000,30000,1,1,0.7559
2,16000,32000,1,1,0.7573
2,17000,34000,1,1,0.761
2,18000,36000,1,1,0.7648
2,19000,38000,1,1,0.7726
2,11000,22000,0.34,0.8,0.6548
2,12000,24000,0.34,0.8,0.6603
2,13000,26000,0.34,0.8,0.6745
2,14000,28000,0.34,0.8,0.6819
2,15000,30000,0.34,0.8,0.694
2,16000,32000,0.34,0.8,0.6871
2,17000,34000,0.34,0.8,0.6849
2,18000,36000,0.34,0.8,0.6945
2,19000,38000,0.34,0.8,0.6945
2,11000,22000,0.55,0.9,0.6841
2,12000,24000,0.55,0.9,0.708
2,13000,26000,0.55,0.9,0.7108
2,14000,28000,0.55,0.9,0.7077
2,15000,30000,0.55,0.9,0.714
2,16000,32000,0.55,0.9,0.7054
2,17000,34000,0.55,0.9,0.7104
2,18000,36000,0.55,0.9,0.6833
2,19000,38000,0.55,0.9,0.7313
2,11000,22000,0.55,0.9,0.7485
2,12000,24000,0.85,0.98,0.7429
2,13000,26000,0.85,0.98,0.7416
2,14000,28000,0.85,0.98,0.7518
2,15000,30000,0.85,0.98,0.75
2,16000,32000,0.85,0.98,0.7251
2,17000,34000,0.85,0.98,0.7369
2,18000,36000,0.85,0.98,0.7555
2,19000,38000,0.85,0.98,0.7669
1,2000,2000,1,1,0.1596
2,2000,4000,1,1,0.4088
3,2000,6000,1,1,0.5241
4,2000,8000,1,1,0.5737
5,2000,10000,1,1,0.6561
6,2000,12000,1,1,0.6492
7,2000,14000,1,1,0.6645
8,2000,16000,1,1,0.6884
9,2000,18000,1,1,0.6609
10,2000,20000,1,1,0.6613
11,2000,22000,1,1,0.6821
12,2000,24000,1,1,0.6843
13,2000,26000,1,1,0.693
14,2000,28000,1,1,0.6725
15,2000,30000,1,1,0.669
1,2000,2000,0.8,0.97,0.1522
2,2000,4000,0.8,0.97,0.3522
3,2000,6000,0.8,0.97,0.4821
4,2000,8000,0.8,0.97,0.5148
5,2000,10000,0.8,0.97,0.5542
6,2000,12000,0.8,0.97,0.5988
7,2000,14000,0.8,0.97,0.5843
8,2000,16000,0.8,0.97,0.6211
9,2000,18000,0.8,0.97,0.582
10,2000,20000,0.8,0.97,0.5779
11,2000,22000,0.8,0.97,0.618
12,2000,24000,0.8,0.97,0.5733
13,2000,26000,0.8,0.97,0.6027
14,2000,28000,0.8,0.97,0.6585
15,2000,30000,0.8,0.97,0.6506
1,2000,2000,0.6,0.92,0.1688
2,2000,4000,0.6,0.92,0.3025
3,2000,6000,0.6,0.92,0.4071
4,2000,8000,0.6,0.92,0.4316
5,2000,10000,0.6,0.92,0.4361
6,2000,12000,0.6,0.92,0.4901
7,2000,14000,0.6,0.92,0.4658
8,2000,16000,0.6,0.92,0.5146
9,2000,18000,0.6,0.92,0.4481
10,2000,20000,0.6,0.92,0.5052
11,2000,22000,0.6,0.92,0.5069
12,2000,24000,0.6,0.92,0.5411
13,2000,26000,0.6,0.92,0.5667
14,2000,28000,0.6,0.92,0.5464
15,2000,30000,0.6,0.92,0.5469
1,2000,2000,0.43,0.85,0.1686
2,2000,4000,0.43,0.85,0.2609
3,2000,6000,0.43,0.85,0.3152
4,2000,8000,0.43,0.85,0.3813
5,2000,10000,0.43,0.85,0.391
6,2000,12000,0.43,0.85,0.4284
7,2000,14000,0.43,0.85,0.3979
8,2000,16000,0.43,0.85,0.4429
9,2000,18000,0.43,0.85,0.4631
10,2000,20000,0.43,0.85,0.4799
11,2000,22000,0.43,0.85,0.4657
12,2000,24000,0.43,0.85,0.482
13,2000,26000,0.43,0.85,0.4875
14,2000,28000,0.43,0.85,0.4932
15,2000,30000,0.43,0.85,0.4853
1,2000,2000,0.21,0.7,0.1704
2,2000,4000,0.21,0.7,0.232
3,2000,6000,0.21,0.7,0.2556
4,2000,8000,0.21,0.7,0.2629
5,2000,10000,0.21,0.7,0.2893
6,2000,12000,0.21,0.7,0.3069
7,2000,14000,0.21,0.7,0.283
8,2000,16000,0.21,0.7,0.3033
9,2000,18000,0.21,0.7,0.3154
10,2000,20000,0.21,0.7,0.325
11,2000,22000,0.21,0.7,0.336
12,2000,24000,0.21,0.7,0.3159
13,2000,26000,0.21,0.7,0.3619
14,2000,28000,0.21,0.7,0.3444
15,2000,30000,0.21,0.7,0.3318
1,3000,3000,1,1,0.3415
2,3000,6000,1,1,0.5457
3,3000,9000,1,1,0.6261
4,3000,12000,1,1,0.7094
5,3000,15000,1,1,0.7158
6,3000,18000,1,1,0.7268
7,3000,21000,1,1,0.7376
8,3000,24000,1,1,0.7338
9,3000,27000,1,1,0.7435
10,3000,30000,1,1,0.7485
11,3000,33000,1,1,0.7555
12,3000,36000,1,1,0.7679
13,3000,39000,1,1,0.771
14,3000,42000,1,1,0.782
15,3000,45000,1,1,0.79
1,3000,3000,0.8,0.97,0.3509
2,3000,6000,0.8,0.97,0.5074
3,3000,9000,0.8,0.97,0.5648
4,3000,12000,0.8,0.97,0.644
5,3000,15000,0.8,0.97,0.6506
6,3000,18000,0.8,0.97,0.6501
7,3000,21000,0.8,0.97,0.6496
8,3000,24000,0.8,0.97,0.6617
9,3000,27000,0.8,0.97,0.6603
10,3000,30000,0.8,0.97,0.6627
11,3000,33000,0.8,0.97,0.6544
12,3000,36000,0.8,0.97,0.6843
13,3000,39000,0.8,0.97,0.7085
14,3000,42000,0.8,0.97,0.703
15,3000,45000,0.8,0.97,0.7077
1,3000,3000,0.6,0.92,0.3449
2,3000,6000,0.6,0.92,0.4416
3,3000,9000,0.6,0.92,0.4869
4,3000,12000,0.6,0.92,0.4514
5,3000,15000,0.6,0.92,0.5553
6,3000,18000,0.6,0.92,0.5682
7,3000,21000,0.6,0.92,0.5918
8,3000,24000,0.6,0.92,0.5887
9,3000,27000,0.6,0.92,0.6097
10,3000,30000,0.6,0.92,0.5884
11,3000,33000,0.6,0.92,0.5866
12,3000,36000,0.6,0.92,0.6476
13,3000,39000,0.6,0.92,0.6423
14,3000,42000,0.6,0.92,0.6484
15,3000,45000,0.6,0.92,0.6387
1,3000,3000,0.43,0.85,0.3422
2,3000,6000,0.43,0.85,0.4184
3,3000,9000,0.43,0.85,0.4347
4,3000,12000,0.43,0.85,0.4478
5,3000,15000,0.43,0.85,0.4991
6,3000,18000,0.43,0.85,0.5169
7,3000,21000,0.43,0.85,0.5248
8,3000,24000,0.43,0.85,0.5259
9,3000,27000,0.43,0.85,0.5383
10,3000,30000,0.43,0.85,0.5353
11,3000,33000,0.43,0.85,0.5481
12,3000,36000,0.43,0.85,0.5594
13,3000,39000,0.43,0.85,0.5714
14,3000,42000,0.43,0.85,0.5889
15,3000,45000,0.43,0.85,0.5669
1,3000,3000,0.21,0.7,0.3496
2,3000,6000,0.21,0.7,0.3543
3,3000,9000,0.21,0.7,0.3471
4,3000,12000,0.21,0.7,0.3289
5,3000,15000,0.21,0.7,0.3218
6,3000,18000,0.21,0.7,0.3364
7,3000,21000,0.21,0.7,0.3392
8,3000,24000,0.21,0.7,0.3649
9,3000,27000,0.21,0.7,0.3663
10,3000,30000,0.21,0.7,0.3783
11,3000,33000,0.21,0.7,0.4159
12,3000,36000,0.21,0.7,0.3964
13,3000,39000,0.21,0.7,0.4333
14,3000,42000,0.21,0.7,0.4279
15,3000,45000,0.21,0.7,0.4217
6,1500,9000,0.63,0.93,0.4462
6,2500,15000,0.63,0.93,0.4977
6,3500,21000,0.63,0.93,0.5773
6,1500,9000,0.48,0.87,0.3365
6,2500,15000,0.48,0.87,0.418
6,3500,21000,0.48,0.87,0.4858
3,1500,4500,0.4,0.85,0.2606
3,2500,7500,0.4,0.85,0.2781
3,3500,10500,0.4,0.85,0.4469
1,4000,4000,1,1,0.4079
2,4000,8000,0.8,0.97,0.5585
3,4000,12000,0.4,0.85,0.4068
4,4000,16000,0.57,0.91,0.4858
5,4000,20000,0.4,0.85,0.4675
1,2500,2500,1,1,0.0848
2,2500,5000,0.8,0.97,0.2996
3,2500,7500,0.4,0.85,0.2569
4,2500,10000,0.57,0.91,0.3829
5,2500,12500,0.4,0.85,0.301
2,2000,4000,0.13,0.6,0.2011
2,2000,4000,0.17,0.65,0.2316
2,2000,4000,0.21,0.7,0.2342
2,2000,4000,0.27,0.75,0.2023
2,2000,4000,0.34,0.8,0.2599
2,2000,4000,0.43,0.85,0.2623
2,2000,4000,0.55,0.9,0.3041
2,2000,4000,0.57,0.91,0.3126
2,2000,4000,0.6,0.92,0.2751
2,2000,4000,0.63,0.93,0.3138
2,2000,4000,0.68,0.94,0.3391
2,2000,4000,0.71,0.95,0.3387
2,2000,4000,0.75,0.96,0.337
2,2000,4000,0.8,0.97,0.35
2,2000,4000,0.85,0.98,0.3703
2,2000,4000,0.91,0.99,0.3886
2,2000,4000,1,1,0.4024
2,3000,6000,0.13,0.6,0.3414
2,3000,6000,0.17,0.65,0.2999
2,3000,6000,0.21,0.7,0.322
2,3000,6000,0.27,0.75,0.2964
2,3000,6000,0.34,0.8,0.3676
2,3000,6000,0.43,0.85,0.4047
2,3000,6000,0.55,0.9,0.428
2,3000,6000,0.57,0.91,0.4032
2,3000,6000,0.6,0.92,0.4565
2,3000,6000,0.63,0.93,0.4482
2,3000,6000,0.68,0.94,0.4468
2,3000,6000,0.71,0.95,0.4645
2,3000,6000,0.75,0.96,0.4671
2,3000,6000,0.8,0.97,0.4998
2,3000,6000,0.85,0.98,0.5095
2,3000,6000,0.91,0.99,0.5178
2,3000,6000,1,1,0.5338
1,1500,1500,1,1,0.0866
1,2500,2500,1,1,0.2795
1,3500,3500,1,1,0.398
1,4500,4500,1,1,0.417
1,5500,5500,1,1,0.493
1,6500,6500,1,1,0.5667
1,7500,7500,1,1,0.594
1,8500,8500,1,1,0.6399
1,9500,9500,1,1,0.6382
1,10500,10500,1,1,0.7341
1,15500,15500,1,1,0.7364
1,30000,30000,1,1,0.7637
2,1500,3000,0.71,0.95,0.2888
2,2500,5000,0.71,0.95,0.3964
2,3500,7000,0.71,0.95,0.5241
2,4500,9000,0.71,0.95,0.4994
2,5500,11000,0.71,0.95,0.5544
2,6500,13000,0.71,0.95,0.6665
2,7500,15000,0.71,0.95,0.6586
2,8500,17000,0.71,0.95,0.6889
2,9500,19000,0.71,0.95,0.6934
2,10500,21000,0.71,0.95,0.7305
2,15500,31000,0.71,0.95,0.7278
3,1500,4500,0.71,0.95,0.315
3,2500,7500,0.71,0.95,0.4279
3,3500,10500,0.71,0.95,0.5227
3,4500,13500,0.71,0.95,0.6157
3,5500,16500,0.71,0.95,0.5774
3,6500,19500,0.71,0.95,0.658
3,7500,22500,0.71,0.95,0.6913
3,8500,25500,0.71,0.95,0.7028
3,9500,28500,0.71,0.95,0.7057
3,10500,31500,0.71,0.95,0.735
3,15500,46500,0.71,0.95,0.7469
