n_tasks,n_tokens_per_task,n_tokens_total,mutual_info,alpha,fscore
2,10000,20000,0.85,0.98,0.7087
2,10000,20000,0.91,0.99,0.732
2,10000,20000,1,1,0.7414
2,10000,20000,0.13,0.6,0.5797
2,10000,20000,0.17,0.65,0.5616
2,10000,20000,0.21,0.7,0.5752
2,10000,20000,0.27,0.75,0.6115
2,10000,20000,0.34,0.8,0.6372
2,10000,20000,0.43,0.85,0.6562
2,10000,20000,0.55,0.9,0.6591
2,10000,20000,0.57,0.91,0.6666
2,10000,20000,0.6,0.92,0.6694
2,10000,20000,0.63,0.93,0.6724
2,10000,20000,0.68,0.94,0.685
2,10000,20000,0.71,0.95,0.6823
2,10000,20000,0.75,0.96,0.6983
2,10000,20000,0.8,0.97,0.7097
2,10000,20000,0.85,0.98,0.7068
2,10000,20000,0.91,0.99,0.7268
2,10000,20000,1,1,0.7401
1,1000,1000,1,1,0.0585
1,2000,2000,1,1,0.1664
1,3000,3000,1,1,0.3375
1,4000,4000,1,1,0.4157
1,5000,5000,1,1,0.4412
1,6000,6000,1,1,0.5453
1,7000,7000,1,1,0.586
1,8000,8000,1,1,0.5972
1,9000,9000,1,1,0.6427
1,10000,10000,1,1,0.6875
1,20000,20000,1,1,0.746
1,40000,40000,1,1,0.788
2,1000,2000,1,1,0.1394
2,2000,4000,1,1,0.4164
2,3000,6000,1,1,0.5329
2,4000,8000,1,1,0.5931
2,5000,10000,1,1,0.5763
2,6000,12000,1,1,0.7058
2,7000,14000,1,1,0.72
2,8000,16000,1,1,0.7089
2,9000,18000,1,1,0.7282
2,10000,20000,1,1,0.7351
2,20000,40000,1,1,0.789
2,1000,2000,0.85,0.98,0.148
2,2000,4000,0.85,0.98,0.3497
2,3000,6000,0.85,0.98,0.4669
2,4000,8000,0.85,0.98,0.562
2,5000,10000,0.85,0.98,0.6002
2,6000,12000,0.85,0.98,0.6627
2,7000,14000,0.85,0.98,0.6915
2,8000,16000,0.85,0.98,0.6905
2,9000,18000,0.85,0.98,0.702
2,10000,20000,0.85,0.98,0.7217
2,20000,40000,0.85,0.98,0.7684
2,1000,2000,0.55,0.9,0.1164
2,2000,4000,0.55,0.9,0.2602
2,3000,6000,0.55,0.9,0.4371
2,4000,8000,0.55,0.9,0.4775
2,5000,10000,0.55,0.9,0.4094
2,6000,12000,0.55,0.9,0.5847
2,7000,14000,0.55,0.9,0.6311
2,8000,16000,0.55,0.9,0.6332
2,9000,18000,0.55,0.9,0.6552
2,10000,20000,0.55,0.9,0.6891
2,20000,40000,0.55,0.9,0.7308
2,1000,2000,0.34,0.8,0.109
2,2000,4000,0.34,0.8,0.2409
2,3000,6000,0.34,0.8,0.3808
2,4000,8000,0.34,0.8,0.3623
2,5000,10000,0.34,0.8,0.4267
2,6000,12000,0.34,0.8,0.5153
2,7000,14000,0.34,0.8,0.5626
2,8000,16000,0.34,0.8,0.5766
2,9000,18000,0.34,0.8,0.5795
2,10000,20000,0.34,0.8,0.6573
2,20000,40000,0.34,0.8,0.6997
1,1000,1000,1,1,0.0579
1,2000,2000,1,1,0.171
1,3000,3000,1,1,0.3502
1,4000,4000,1,1,0.4143
1,5000,5000,1,1,0.4472
1,6000,6000,1,1,0.5401
1,7000,7000,1,1,0.5835
1,8000,8000,1,1,0.5946
1,9000,9000,1,1,0.6418
1,10000,10000,1,1,0.6891
1,20000,20000,1,1,0.7443
1,40000,40000,1,1,0.7856
2,1000,2000,1,1,0.1496
2,2000,4000,1,1,0.4133
2,3000,6000,1,1,0.5391
2,4000,8000,1,1,0.5908
2,5000,10000,1,1,0.6262
2,6000,12000,1,1,0.7064
2,7000,14000,1,1,0.7158
2,8000,16000,1,1,0.7309
2,9000,18000,1,1,0.7392
2,10000,20000,1,1,0.7408
2,20000,40000,1,1,0.7888
2,1000,2000,0.85,0.98,0.166
2,2000,4000,0.85,0.98,0.3752
2,3000,6000,0.85,0.98,0.5301
2,4000,8000,0.85,0.98,0.5638
2,5000,10000,0.85,0.98,0.5599
2,6000,12000,0.85,0.98,0.6629
2,7000,14000,0.85,0.98,0.6892
2,8000,16000,0.85,0.98,0.7042
2,9000,18000,0.85,0.98,0.7091
2,10000,20000,0.85,0.98,0.722
2,20000,40000,0.85,0.98,0.7601
2,1000,2000,0.55,0.9,0.1133
2,2000,4000,0.55,0.9,0.2977
2,3000,6000,0.55,0.9,0.4163
2,4000,8000,0.55,0.9,0.4598
2,5000,10000,0.55,0.9,0.452
2,6000,12000,0.55,0.9,0.5653
2,7000,14000,0.55,0.9,0.618
2,8000,16000,0.55,0.9,0.6336
2,9000,18000,0.55,0.9,0.6637
2,10000,20000,0.55,0.9,0.6665
2,20000,40000,0.55,0.9,0.7278
2,1000,2000,0.34,0.8,0.1144
2,2000,4000,0.34,0.8,0.2679
2,3000,6000,0.34,0.8,0.3945
2,4000,8000,0.34,0.8,0.4151
2,5000,10000,0.34,0.8,0.4222
2,6000,12000,0.34,0.8,0.5144
2,7000,14000,0.34,0.8,0.549
2,8000,16000,0.34,0.8,0.59
2,9000,18000,0.34,0.8,0.6133
2,10000,20000,0.34,0.8,0.6282
2,20000,40000,0.34,0.8,0.6886
1,1000,1000,1,1,0.0547
1,2000,2000,1,1,0.1592
1,3000,3000,1,1,0.3534
1,4000,4000,1,1,0.41
1,5000,5000,1,1,0.4325
1,6000,6000,1,1,0.5455
1,7000,7000,1,1,0.5861
1,8000,8000,1,1,0.5932
1,9000,9000,1,1,0.6421
1,10000,10000,1,1,0.6899
1,20000,20000,1,1,0.7455
1,40000,40000,1,1,0.7857
2,1000,2000,1,1,0.1554
2,2000,4000,1,1,0.4182
2,3000,6000,1,1,0.5369
2,4000,8000,1,1,0.5807
2,5000,10000,1,1,0.5699
